Time,CPI,BY,M2,EX,OIL
"M4, 2012",100.05,10.674,3184846,20830,104.87
"M5, 2012",100.18,8.635,3247187,20820,86.53
"M6, 2012",99.74,9.238,3306645,20880,84.96
"M7, 2012",99.71,8.873,3338824,20850,88.06
"M8, 2012",100.63,8.697,3371651,20790,96.47
"M9, 2012",102.2,8.918,3408877,20875,92.19
"M10, 2012",100.85,9.055,3441875,20825,86.24
"M11, 2012",100.47,8.792,3519376,20835,88.91
"M12, 2012",100.27,8.563,3702867,20820,91.82
"M1, 2013",101.25,7.913,3766292,20810,97.49
"M2, 2013",101.32,7.895,3786543,20930,92.05
"M3, 2013",99.81,7.117,3842421,20925,97.23
"M4, 2013",100.02,6.931,3866254,20810,93.46
"M5, 2013",99.94,6.08,3899158,20990,91.97
"M6, 2013",100.05,6.027,3973449,21170,96.56
"M7, 2013",100.27,6.359,3981117,21140,105.03
"M8, 2013",100.83,6.589,4085496,21120,107.65
"M9, 2013",101.06,6.937,4085496,21112,102.33
"M10, 2013",100.49,6.636,4137265,21080,96.38
"M11, 2013",100.34,6.841,4217699,21090,92.72
"M12, 2013",100.51,6.575,4400692,21075,98.42
"M1, 2014",100.69,6.243,4494180,21035,97.49
"M2, 2014",100.55,5.843,4475609,21080,102.59
"M3, 2014",99.56,4.848,4524885,21075,101.58
"M4, 2014",100.08,4.765,4565050,21060,99.74
"M5, 2014",100.2,5.108,4608425,21135,102.71
"M6, 2014",100.3,4.958,4708299,21300,105.37
"M7, 2014",100.23,4.625,4701924,21200,98.17
"M8, 2014",100.22,4.547,4776680,21170,95.96
"M9, 2014",100.4,4.159,4847017,21190,91.16
"M10, 2014",100.11,3.775,4887877,21255,80.54
"M11, 2014",99.73,4.249,4973579,21300,66.15
"M12, 2014",99.76,4.673,5179216,21370,53.27
"M1, 2015",99.8,4.432,5192194,21267,48.24
"M2, 2015",99.95,4.388,5308012,21320,49.76
"M3, 2015",100.15,4.692,5300817,21520,47.6
"M4, 2015",100.14,5.024,5328232,21550,59.63
"M5, 2015",100.16,4.797,5376435,21785,60.3
"M6, 2015",100.35,4.956,5492731,21802,59.47
"M7, 2015",100.13,4.879,5505640,21813,47.12
